Title,Activity Type,Description,Rating,Reviews,Phone,WhatsApp,Instagram,Facebook,Industry,Address,Website,Image,Amenities,Latitude,Longitude,Google Maps Link
Forest Bay Inn El Nido,Bed & Breakfast,"A cozy B&B at Sitio Cabugao - homemade breakfast, pool, and a quieter slice of El Nido.",4.6,(29),917 534 0544,https://wa.me/9175340544,,,Bed & breakfast,0917 534 0544,https://www.booking.com/Share-oQkm6U4,,"Pool",11.1845782,119.3939169,
Dolarog Beach Resort,3-Star Beachfront Resort,"Laid-back beachfront resort with a pool tucked away in Dolarog - peace, sand, and zero pretense.",4.3,(288),968 218 5450,https://wa.me/9682185450,,,3-star hotel,0968 218 5450,http://dolarogresort.com/,,"Pool, Beachfront",11.135674,119.397802,
Bayan Yoga,Yoga Studio,"Drop-in yoga classes in the heart of town - solid teachers, welcoming vibe, easy to fit between tours.",4.9,(40),919 398 0807,https://wa.me/9193980807,,,Yoga studio,0919 398 0807,https://bayanyoga.rezerv.co/,,"Gym, Restaurant",11.1784738,119.3906041,
D Gifts Travel and Tours,Travel Agency,"Beachfront travel agency with a glowing reputation - handles tours, transfers, and special-request itineraries.",5.0,(47),938 785 0062,https://wa.me/9387850062,https://www.instagram.com/ansleydiago,https://www.facebook.com/profile.php?id=100078288803459,Travel agency,0938 785 0062,https://dgiftstravelandtours.com/,,Beachfront,11.1699221,119.3943796,
Yacht Wreck Bar,Bar,A nautical-themed bar with a stiff pour and a great story for every shipwreck on the wall.,4.8,(282),943 679 7533,https://wa.me/9436797533,,https://www.facebook.com/yachtwreckbar5313/,Bar,0943 679 7533,https://www.facebook.com/yachtwreckbar5313/,,Bar,11.1811575,119.3906959,
Depeldet Island,Island / Natural Attraction,"A tiny stunning islet near El Nido - sandbar moments, clear water, and a barely-touched feel.",4.9,(13),,,,,,,,,,11.1451406,119.3901781,
Last Frontier Beach Resort - Adults Only,3-Star Adults-Only Resort,Adults-only beachfront resort with a pool - built for couples and grown-up getaways.,4.6,(365),999 992 6281,https://wa.me/9999926281,https://www.instagram.com/lastfrontierelnido/,,3-star hotel,0999 992 6281,http://www.lastfrontierbeachresort.com/,,"Pool, Beachfront",11.165583,119.396989,
RedDoorz @ Island Front Cottages El Nido,Hotel,"Beachfront cottages in Corong Corong with a pool, restaurant, and kid-friendly basics covered.",3.6,(67),0282487369,https://wa.me/0282487369,https://www.instagram.com/reddoorzid,https://www.facebook.com/reddoorzindonesia,Hotel,6 El Nido,https://www.reddoorz.com/,,"Pool, Restaurant, Beachfront, Garden",11.1611875,119.3980625,
Clydenike and Guenkean travel & tour,Travel Agency,"A small, eager local agency happy to put together your El Nido trip with personal care.",5.0,(1),966 839 6288,https://wa.me/9668396288,,https://www.facebook.com/clydenike,Travel agency,0966 839 6288,https://www.facebook.com/clydenike,,,11.1785915,119.3903513,
Picado House,Vacation Rental,A full private house sleeping 6-8 - ideal for families or groups who want their own space in town.,5.0,(8),968 376 3069,https://wa.me/9683763069,,,Vacation Rental,6 to 8 pax,,,,11.178592,119.3905069,
Buko Beach Resort,4-Star Beachfront Resort,Beachfront 4-star at Sitio Lugadia with a pool and full amenities - comfort right on the sand.,4.6,(229),(048) 550 8114,https://wa.me/0485508114,https://www.instagram.com/bukobeachresortelnido,https://www.facebook.com/BukoResort,4-star hotel,10 Sitio Lugadia,https://bukobeachresort.com/,,"Pool, Beachfront",11.1569813,119.3981414,
El Nido Bayview Resort,3-Star Resort,"Beachfront resort at Sitio Marimegmeg with a pool, garden, and beach access - solid mid-range pick.",3.9,(448),917 889 2727,https://wa.me/9178892727,,,3-star hotel,0917 889 2727,https://elnidobayviewresort.online/,,"Pool, Beachfront, Garden",11.1491342,119.3980304,
Stunning Republic Beach Resort,3-Star Beachfront Resort,Beachfront resort with a pool and full breakfast - a relaxed base for hitting island tours.,3.7,(274),999 566 0888,https://wa.me/9995660888,,,3-star hotel,0999 566 0888,http://stunningrepublic.com/,,"Pool, Beachfront",11.1595584,119.3982659,
La Plage Restaurant & Beach Bar,Restaurant / Beach Bar,"Beachfront restaurant and bar with a pool, French-leaning menu, and a sunset crowd that knows what's up.",4.4,(822),960 483 4921,https://wa.me/9604834921,,,Restaurant,0960 483 4921,https://laplage-elnido.com/,,"Pool, Restaurant, Bar, Beachfront",11.1651769,119.3969489,
Colibris Corner,Hotel,"A charming small hotel at Maremegmeg with a balcony, gym, and that low-key boutique feel.",4.8,(43),917 303 7488,https://wa.me/9173037488,https://www.instagram.com/reel/Ce-TAaClW3C/,,Hotel,0917 303 7488,http://www.colibriscorner.com/,,"Gym",11.1441312,119.39463,
Seda Lio,5-Star Hotel,Relaxed 5-star at Lio Tourism Estate with an infinity pool - polished and quietly stylish.,4.5,"(1,078)",917 818 1929,https://wa.me/9178181929,,,5-star hotel,0917 818 1929,https://www.sedahotels.com/hotel/view/11/seda-lio,,"Pool",11.2114257,119.418312,
Yva travel and tours,Travel Agency,"A small local travel agency on Real Street - friendly, flexible, and easy to walk in for a booking.",4.0,(19),977 416 0305,https://wa.me/9774160305,,,Travel agency,0977 416 0305,,,,11.1798338,119.3881666,
